Record ID,Agency Code,Agency Name,Agency Type,City,State,Year,Month,Incident,Crime Type,Crime Solved,Victim Sex,Victim Age,Victim Race,Victim Ethnicity,Perpetrator Sex,Perpetrator Age,Perpetrator Race,Perpetrator Ethnicity,Relationship,Weapon,Victim Count,Perpetrator Count,Record Source
238460,TX01404,Killeen,Municipal Police,Bell,Texas,1991,October,3,Murder or Manslaughter,Yes,Female,55,White,Unknown,Male,35,White,Unknown,Stranger,Handgun,4,0,FBI
272327,DCMPD00,Washington,Municipal Police,District of Columbia,District of Columbia,1993,May,5,Murder or Manslaughter,Yes,Male,34,White,Unknown,Male,27,Black,Unknown,Stranger,Handgun,0,0,FBI
433122,AL01100,Calhoun,Sheriff,Calhoun,Alabama,2002,October,1,Murder or Manslaughter,No,Male,85,White,Unknown,Unknown,0,Unknown,Unknown,Unknown,Knife,1,0,FBI
587862,MOKPD00,Kansas City,Municipal Police,Jackson,Missouri,2011,August,9,Murder or Manslaughter,Yes,Male,19,Black,Unknown,Male,29,Black,Unknown,Unknown,Firearm,0,0,FBI
62067,TX01404,Killeen,Municipal Police,Bell,Texas,1982,April,1,Murder or Manslaughter,No,Male,25,White,Not Hispanic,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
503185,FL01300,Miami-Dade,County Police,Dade,Florida,2006,January,815,Murder or Manslaughter,Yes,Male,22,Black,Unknown,Male,21,White,Unknown,Unknown,Handgun,0,1,FOIA
213417,OH04704,Elyria,Municipal Police,Lorain,Ohio,1990,January,1,Murder or Manslaughter,Yes,Female,36,White,Unknown,Male,41,White,Unknown,Acquaintance,Shotgun,0,0,FBI
551001,CA01977,Carson,Municipal Police,Los Angeles,California,2009,January,1,Murder or Manslaughter,No,Male,26,Black,Not Hispanic,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
465776,AL00102,Birmingham,Municipal Police,Jefferson,Alabama,2004,September,3,Murder or Manslaughter,Yes,Male,55,White,Unknown,Male,0,Black,Unknown,Stranger,Handgun,0,0,FBI
376822,GA08400,Jones,Sheriff,Jones,Georgia,1998,April,1,Murder or Manslaughter,Yes,Female,15,White,Unknown,Male,19,White,Unknown,Stranger,Handgun,2,1,FBI
543068,NJ00427,Pennsauken Township,Municipal Police,Camden,New Jersey,2008,January,1,Murder or Manslaughter,Yes,Female,17,White,Unknown,Male,25,White,Unknown,Family,Blunt Object,0,1,FBI
246645,CA03600,San Bernardino,Sheriff,San Bernardino,California,1992,July,2,Murder or Manslaughter,Yes,Male,82,White,Not Hispanic,Male,29,White,Not Hispanic,Employer,Blunt Object,1,0,FBI
522119,GAAPD00,Atlanta,Municipal Police,Fulton,Georgia,2007,October,5,Murder or Manslaughter,No,Male,38,Black,Not Hispanic,Unknown,0,Unknown,Unknown,Unknown,Knife,0,0,FBI
466486,AZ00900,Navajo,Sheriff,Navajo,Arizona,2004,January,1,Murder or Manslaughter,Yes,Male,80,White,Not Hispanic,Male,16,White,Not Hispanic,Stranger,Handgun,0,0,FBI
358529,FL00600,Broward,Sheriff,Broward,Florida,1997,May,1,Murder or Manslaughter,Yes,Male,45,Black,Unknown,Male,39,Black,Unknown,Unknown,Firearm,0,0,FOIA
108025,FL05000,Palm Beach,Sheriff,Palm Beach,Florida,1985,February,1,Murder or Manslaughter,Yes,Male,20,White,Not Hispanic,Male,54,White,Not Hispanic,Friend,Handgun,0,0,FBI
376178,FL04800,Orange,Sheriff,Orange,Florida,1998,February,1,Murder or Manslaughter,Yes,Male,20,Black,Unknown,Male,32,Black,Unknown,Unknown,Handgun,0,0,FOIA
460098,NY01401,Buffalo,Municipal Police,Erie,New York,2003,August,2,Murder or Manslaughter,Yes,Male,2,Black,Unknown,Female,30,Black,Unknown,Stepson,Blunt Object,0,0,FBI
90414,GA14500,Upson,Sheriff,Upson,Georgia,1984,July,1,Murder or Manslaughter,Yes,Male,99,Black,Unknown,Male,0,Black,Unknown,Acquaintance,Firearm,0,0,FBI
385169,TN01901,Nashville,Municipal Police,Davidson,Tennessee,1998,March,3,Murder or Manslaughter,Yes,Female,27,Black,Unknown,Male,44,Black,Unknown,Acquaintance,Knife,0,0,FBI
585736,LA00500,Avoyelles,Sheriff,Avoyelles,Louisiana,2011,January,1,Murder or Manslaughter,Yes,Male,27,White,Unknown,Female,21,White,Unknown,Acquaintance,Handgun,0,1,FBI
320614,FL05215,St. Pete Beach,Municipal Police,Pinellas,Florida,1995,July,1,Manslaughter by Negligence,Yes,Male,78,White,Unknown,Male,59,White,Unknown,Unknown,Unknown,0,0,FBI
121407,AL05900,Shelby,Sheriff,Shelby,Alabama,1986,December,1,Murder or Manslaughter,Yes,Male,42,White,Not Hispanic,Male,30,White,Not Hispanic,Acquaintance,Handgun,0,0,FBI
44059,WI05200,Racine,Sheriff,Racine,Wisconsin,1981,June,1,Murder or Manslaughter,Yes,Male,44,White,Unknown,Female,39,White,Unknown,Stranger,Handgun,0,0,FBI
254387,MI80080,State Police: Van Buren County,State Police,Van Buren,Michigan,1992,November,1,Murder or Manslaughter,No,Male,3,White,Unknown,Unknown,0,Unknown,Unknown,Unknown,Fire,1,1,FBI
635095,PA06702,York,Municipal Police,York,Pennsylvania,2014,August,1,Murder or Manslaughter,No,Male,23,Black,Not Hispanic,Unknown,0,Unknown,Unknown,Unknown,Firearm,0,0,FBI
563436,TXHPD00,Houston,Municipal Police,Harris,Texas,2009,January,1,Murder or Manslaughter,Yes,Male,39,White,Hispanic,Male,59,White,Hispanic,Acquaintance,Knife,0,0,FBI
587086,MI63251,Berkley,Municipal Police,Oakland,Michigan,2011,March,1,Murder or Manslaughter,Yes,Male,42,Black,Unknown,Female,21,White,Unknown,Stranger,Unknown,0,0,FBI
248661,FL00607,Pompano Beach,Municipal Police,Broward,Florida,1992,July,3,Murder or Manslaughter,Yes,Female,27,Black,Unknown,Male,63,Black,Unknown,Unknown,Handgun,0,0,FBI
385369,TN06301,Clarksville,Municipal Police,Montgomery,Tennessee,1998,October,2,Murder or Manslaughter,Yes,Male,18,Black,Unknown,Male,48,Black,Unknown,Acquaintance,Handgun,0,0,FBI
470007,FL01306,Miami,Municipal Police,Dade,Florida,2004,August,983,Murder or Manslaughter,Yes,Male,26,White,Unknown,Male,18,Black,Unknown,Unknown,Handgun,0,0,FOIA
348425,NY03030,New York,Municipal Police,New York,New York,1996,September,28,Murder or Manslaughter,Yes,Male,18,Black,Unknown,Male,0,Black,Unknown,Unknown,Handgun,0,0,FBI
453890,FL03600,Lee County,Sheriff,Lee,Florida,2003,July,285,Murder or Manslaughter,No,Female,62,White,Unknown,Unknown,0,Unknown,Unknown,Unknown,Unknown,0,0,FOIA
433088,AL00301,Montgomery,Municipal Police,Montgomery,Alabama,2002,March,1,Murder or Manslaughter,No,Female,31,Black,Unknown,Unknown,0,Unknown,Unknown,Unknown,Handgun,0,0,FBI
34664,MOSPD00,St. Louis,Municipal Police,St. Louis city,Missouri,1981,October,15,Murder or Manslaughter,Yes,Male,21,White,Not Hispanic,Male,21,Black,Not Hispanic,Stranger,Shotgun,0,1,FBI
373605,CA01942,Los Angeles,Municipal Police,Los Angeles,California,1998,March,28,Murder or Manslaughter,Yes,Female,22,White,Hispanic,Male,21,White,Hispanic,Friend,Handgun,0,0,FBI
16379,NY05101,Suffolk County,County Police,Suffolk,New York,1980,December,4,Murder or Manslaughter,Yes,Female,33,Black,Unknown,Male,32,Black,Unknown,Wife,Knife,0,0,FBI
49018,FL00700,Calhoun,Sheriff,Calhoun,Florida,1982,July,1,Murder or Manslaughter,Yes,Female,2,White,Not Hispanic,Female,19,White,Not Hispanic,Unknown,Blunt Object,1,0,FBI
362249,LANPD00,New Orleans,Municipal Police,Orleans,Louisiana,1997,December,8,Murder or Manslaughter,Yes,Male,18,White,Unknown,Male,28,Black,Unknown,Stranger,Handgun,0,1,FBI
232387,NC07201,Hertford,Municipal Police,Perquimans,North Carolina,1991,July,1,Murder or Manslaughter,No,Male,26,White,Not Hispanic,Unknown,0,Unknown,Unknown,Acquaintance,Blunt Object,0,0,FBI
409593,MI63808,Waterford Township,Municipal Police,Oakland,Michigan,2000,March,1,Murder or Manslaughter,Yes,Female,17,White,Unknown,Male,18,White,Unknown,Friend,Firearm,0,0,FBI
